alpha,beta,m,resolution,microservice_threshold,partitions
1.0,0.0,3.5,0.0,9,"{0: ['CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'Cart.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'CartItem.java', 'Order.java', 'Account.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Product.java', 'LineItem.java', 'Item.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 1: ['Order.java', 'Account.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'Cart.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'CartItem.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Product.java', 'LineItem.java', 'Item.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 2: ['AccountService.java', 'AccountMapper.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'Cart.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'CartItem.java', 'Order.java', 'Account.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Product.java', 'LineItem.java', 'Item.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 3: ['CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'AccountService.java', 'AccountMapper.java', 'Product.java', 'LineItem.java', 'Item.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 4: ['Product.java', 'LineItem.java', 'Item.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'Cart.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'CartItem.java', 'Order.java', 'Account.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 5: ['Category.java'], 6: ['Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'Cart.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'CartItem.java', 'Order.java', 'Account.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Product.java', 'LineItem.java', 'Item.java']}"
1.0,0.0,4.0,0.0,9,"{0: ['Order.java', 'Account.java', 'AccountActionBean.java', 'CartActionBean.java', 'LineItem.java', 'CartItem.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'Cart.java', 'CatalogActionBean.java', 'Item.java', 'Product.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 1: ['CartActionBean.java', 'LineItem.java', 'CartItem.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'Cart.java', 'CatalogActionBean.java', 'Item.java', 'Product.java', 'Order.java', 'Account.java', 'AccountActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 2: ['AccountService.java', 'AccountMapper.java', 'Order.java', 'Account.java', 'AccountActionBean.java', 'CartActionBean.java', 'LineItem.java', 'CartItem.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'Cart.java', 'CatalogActionBean.java', 'Item.java', 'Product.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 3: ['CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Order.java', 'Account.java', 'AccountActionBean.java', 'CartActionBean.java', 'LineItem.java', 'CartItem.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'Cart.java', 'CatalogActionBean.java', 'Item.java', 'Product.java', 'AccountService.java', 'AccountMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 4: ['Category.java'], 5: ['Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java', 'Order.java', 'Account.java', 'AccountActionBean.java', 'CartActionBean.java', 'LineItem.java', 'CartItem.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'Cart.java', 'CatalogActionBean.java', 'Item.java', 'Product.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java']}"
1.0,0.0,4.5,0.0,9,"{0: ['Order.java', 'Account.java', 'AccountActionBean.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'CatalogService.java', 'ProductMapper.java', 'LineItem.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Product.java', 'ItemMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 1: ['CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'Order.java', 'Account.java', 'AccountActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'CatalogService.java', 'ProductMapper.java', 'LineItem.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Product.java', 'ItemMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 2: ['AccountService.java', 'AccountMapper.java', 'Order.java', 'Account.java', 'AccountActionBean.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'CategoryMapper.java', 'CatalogService.java', 'ProductMapper.java', 'LineItem.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Product.java', 'ItemMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 3: ['CategoryMapper.java', 'CatalogService.java', 'ProductMapper.java', 'AccountService.java', 'AccountMapper.java', 'ItemMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 4: ['LineItem.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Product.java', 'Order.java', 'Account.java', 'AccountActionBean.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'CatalogService.java', 'ProductMapper.java', 'ItemMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 5: ['ItemMapper.java', 'CategoryMapper.java', 'CatalogService.java', 'ProductMapper.java'], 6: ['Category.java'], 7: ['Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java', 'Order.java', 'Account.java', 'AccountActionBean.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'CatalogService.java', 'ProductMapper.java', 'LineItem.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Product.java', 'ItemMapper.java']}"
1.0,0.0,5.0,0.0,9,"{0: ['CartActionBean.java', 'OrderActionBean.java', 'Account.java', 'AbstractActionBean.java', 'CatalogService.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'AccountService.java', 'AccountMapper.java', 'Cart.java', 'Item.java', 'Product.java', 'CartItem.java', 'CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java', 'Order.java', 'LineItem.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 1: ['AccountService.java', 'AccountMapper.java', 'CartActionBean.java', 'OrderActionBean.java', 'Account.java', 'AbstractActionBean.java', 'CatalogService.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'Cart.java', 'Item.java', 'Product.java', 'CartItem.java', 'CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java', 'Order.java', 'LineItem.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 2: ['Cart.java', 'Item.java', 'Product.java', 'CartItem.java', 'CartActionBean.java', 'OrderActionBean.java', 'Account.java', 'AbstractActionBean.java', 'CatalogService.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java', 'Order.java', 'LineItem.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 3: ['CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java', 'AccountService.java', 'AccountMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 4: ['Category.java'], 5: ['Order.java', 'LineItem.java', 'CartActionBean.java', 'OrderActionBean.java', 'Account.java', 'AbstractActionBean.java', 'CatalogService.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'AccountService.java', 'AccountMapper.java', 'Cart.java', 'Item.java', 'Product.java', 'CartItem.java', 'CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 6: ['Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java', 'CartActionBean.java', 'OrderActionBean.java', 'Account.java', 'AbstractActionBean.java', 'CatalogService.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'AccountService.java', 'AccountMapper.java', 'Cart.java', 'Item.java', 'Product.java', 'CartItem.java', 'CategoryMapper.java', 'ItemMapper.java', 'ProductMapper.java', 'Order.java', 'LineItem.java']}"
0.0,1.0,1.0,0.5,9,"{0: ['Order.java', 'LineItem.java', 'Account.java', 'AccountActionBean.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 1: ['CategoryMapper.java', 'CartActionBean.java', 'ItemMapper.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogService.java', 'ProductMapper.java', 'CatalogActionBean.java', 'CartItem.java', 'Cart.java'], 2: ['AccountService.java', 'AccountMapper.java'], 3: ['CartItem.java', 'Cart.java'], 4: ['Product.java', 'Item.java'], 5: ['Category.java'], 6: ['Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java']}"
0.0,1.0,1.5,0.5,9,"{0: ['Order.java', 'Account.java', 'AccountActionBean.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 1: ['CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'Order.java', 'Account.java', 'AccountActionBean.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Product.java', 'LineItem.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 2: ['AccountService.java', 'AccountMapper.java'], 3: ['CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java'], 4: ['Product.java', 'LineItem.java', 'CartItem.java', 'Cart.java', 'Item.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 5: ['Category.java'], 6: ['Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java']}"
0.0,1.0,2.0,0.5,9,"{0: ['OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'Order.java', 'LineItem.java', 'Account.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Product.java', 'CartActionBean.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 1: ['Order.java', 'LineItem.java', 'Account.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Product.java', 'CartActionBean.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 2: ['AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java'], 3: ['CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java'], 4: ['Product.java', 'CartActionBean.java', 'CartItem.java', 'Cart.java', 'Item.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'Order.java', 'LineItem.java', 'Account.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 5: ['Category.java'], 6: ['Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java']}"
0.0,1.0,2.5,0.5,9,"{0: ['Order.java', 'Account.java', 'AccountActionBean.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Product.java', 'LineItem.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 1: ['CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'Order.java', 'Account.java', 'AccountActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Product.java', 'LineItem.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 2: ['AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 3: ['CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java'], 4: ['Product.java', 'LineItem.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Order.java', 'Account.java', 'AccountActionBean.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 5: ['Category.java'], 6: ['Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java']}"
0.0,1.0,3.0,0.5,9,"{0: ['Order.java', 'LineItem.java', 'Account.java', 'AccountActionBean.java', 'CategoryMapper.java', 'CartActionBean.java', 'ItemMapper.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogService.java', 'ProductMapper.java', 'CatalogActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CartItem.java', 'Cart.java', 'Product.java', 'Item.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 1: ['CategoryMapper.java', 'CartActionBean.java', 'ItemMapper.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogService.java', 'ProductMapper.java', 'CatalogActionBean.java', 'Order.java', 'LineItem.java', 'Account.java', 'AccountActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CartItem.java', 'Cart.java', 'Product.java', 'Item.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 2: ['AccountService.java', 'AccountMapper.java', 'Product.java', 'Item.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 3: ['CartItem.java', 'Cart.java', 'Order.java', 'LineItem.java', 'Account.java', 'AccountActionBean.java', 'CategoryMapper.java', 'CartActionBean.java', 'ItemMapper.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogService.java', 'ProductMapper.java', 'CatalogActionBean.java', 'AccountService.java', 'AccountMapper.java', 'Product.java', 'Item.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 4: ['Product.java', 'Item.java'], 5: ['Category.java'], 6: ['Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java', 'AccountService.java', 'AccountMapper.java', 'Product.java', 'Item.java']}"
0.0,1.0,3.5,0.5,9,"{0: ['OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'Order.java', 'LineItem.java', 'Account.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Product.java', 'CartActionBean.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 1: ['Order.java', 'LineItem.java', 'Account.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Product.java', 'CartActionBean.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 2: ['AccountService.java', 'AccountMapper.java', 'Order.java', 'LineItem.java', 'Account.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Product.java', 'CartActionBean.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 3: ['CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'AccountService.java', 'AccountMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 4: ['Product.java', 'CartActionBean.java', 'CartItem.java', 'Cart.java', 'Item.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountActionBean.java', 'Order.java', 'LineItem.java', 'Account.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 5: ['Category.java'], 6: ['Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java', 'Order.java', 'LineItem.java', 'Account.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java']}"
0.0,1.0,4.0,0.5,9,"{0: ['Order.java', 'Account.java', 'AccountActionBean.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Product.java', 'LineItem.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 1: ['CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'Order.java', 'Account.java', 'AccountActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Product.java', 'LineItem.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 2: ['AccountService.java', 'AccountMapper.java', 'Order.java', 'Account.java', 'AccountActionBean.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Product.java', 'LineItem.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 3: ['CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'AccountService.java', 'AccountMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 4: ['Product.java', 'LineItem.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Order.java', 'Account.java', 'AccountActionBean.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 5: ['Category.java'], 6: ['Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java', 'Order.java', 'Account.java', 'AccountActionBean.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Product.java', 'LineItem.java', 'CartItem.java', 'Cart.java', 'Item.java']}"
0.0,1.0,4.5,0.5,9,"{0: ['Order.java', 'LineItem.java', 'Account.java', 'AccountActionBean.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Product.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 1: ['CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'Order.java', 'LineItem.java', 'Account.java', 'AccountActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Product.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 2: ['AccountService.java', 'AccountMapper.java', 'Order.java', 'LineItem.java', 'Account.java', 'AccountActionBean.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Product.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 3: ['CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'AccountService.java', 'AccountMapper.java', 'Item.java', 'Product.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 4: ['CartItem.java', 'Cart.java', 'Order.java', 'LineItem.java', 'Account.java', 'AccountActionBean.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Item.java', 'Product.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 5: ['Item.java', 'Product.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java'], 6: ['Category.java'], 7: ['Sequence.java', 'LineItemMapper.java', 'OrderMapper.java', 'OrderService.java', 'SequenceMapper.java', 'Order.java', 'LineItem.java', 'Account.java', 'AccountActionBean.java', 'CartActionBean.java', 'OrderActionBean.java', 'AbstractActionBean.java', 'CatalogActionBean.java', 'AccountService.java', 'AccountMapper.java', 'CategoryMapper.java', 'ItemMapper.java', 'CatalogService.java', 'ProductMapper.java', 'CartItem.java', 'Cart.java', 'Item.java', 'Product.java']}"
